loc;unit size
|java+compilationUnit:///src/smallsql/database/Table.java|(10488,1163,<311,4>,<338,5>);19
|java+compilationUnit:///src/smallsql/junit/TestOther.java|(2317,1135,<63,1>,<82,2>);19
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionReturnP1Number.java|(1835,562,<59,4>,<77,5>);19
|java+compilationUnit:///src/smallsql/database/Expression.java|(3134,633,<106,1>,<128,2>);19
|java+compilationUnit:///src/smallsql/database/MutableNumeric.java|(13606,901,<489,4>,<510,5>);19
|java+compilationUnit:///src/smallsql/junit/BasicTestCase.java|(5549,722,<163,4>,<185,2>);19
|java+compilationUnit:///src/smallsql/database/ExpressionFunctionSubstring.java|(1735,661,<54,1>,<72,2>);19
|java+compilationUnit:///src/smallsql/database/Join.java|(4817,1044,<177,4>,<201,5>);19
|java+compilationUnit:///src/smallsql/junit/TestOther.java|(5103,1295,<141,1>,<161,2>);19
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(1732,420,<53,1>,<75,2>);19
|java+compilationUnit:///src/smallsql/database/SortedResult.java|(5990,533,<215,4>,<233,5>);19
|java+compilationUnit:///src/smallsql/database/SQLParser.java|(4599,1060,<134,4>,<163,5>);18
|java+compilationUnit:///src/smallsql/database/Table.java|(3758,878,<108,4>,<129,5>);18
|java+compilationUnit:///src/smallsql/database/StoreImpl.java|(18125,784,<530,4>,<549,5>);18
|java+compilationUnit:///src/smallsql/junit/TestTransactions.java|(15641,778,<427,1>,<446,2>);18
|java+compilationUnit:///src/smallsql/database/Database.java|(4777,590,<137,1>,<157,2>);18
|java+compilationUnit:///src/smallsql/database/ExpressionValue.java|(17211,686,<517,1>,<534,5>);18
|java+compilationUnit:///src/smallsql/junit/TestScrollable.java|(5944,1192,<144,1>,<164,2>);18
